id,Nombre,Grupo de alimento,Marca,Cantidad,Unidad,Calorias,Proteinas,Carbohidratos,Grasas,Fibra,vitA,vitB1,vitB2,vitB3,vitB5,vitB6,vitB9,vitB12,vitC,vitD,vitE,vitK,choline,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,selenium,sodium,zinc,water,cholesterol,saturatedFat,monoUnsaturatedFat,polyUnsaturatedFat,glycemicIndex,tiene_micros,es_duplicado,momento_sugerido,comments,usar_en_generador
,Chicle con azúcar,"Azúcares, siropes y edulcorantes",,100,gr,381,0,95.2,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,,0,0,,0,0,0,0,0,4.8,0,0,0,0,,False,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Chicle sin azúcar,"Azúcares, siropes y edulcorantes",,100,gr,148,0,61.7,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,,0,0,,0,0,0,0,0,3.5,0,0,0,0,,False,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Chocolate,"Azúcares, siropes y edulcorantes",,100,gr,532,7.8,56.4,30.6,,6.6,0.07,0.08,1.2,,0.07,10,0,0,0,0.85,,,38,,2.4,100,,411,300,2,11,0.2,5.2,9,18.9,10.1,0.98,,True,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Chocolate blanco,"Azúcares, siropes y edulcorantes",,100,gr,543,8,58.3,30.9,,25.5,0.08,0.49,2.8,,0.07,10,0,0,0,1.14,,,270,,0.2,26,,230,350,3,110,0.9,2.8,23,18.4,10,1.1,,True,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Chocolate con leche,"Azúcares, siropes y edulcorantes",,100,gr,553,8.4,60,31,0,6.6,0.11,0.28,1.6,,0.07,10,0,0,0,0.74,,,188,,1.4,55,,310,420,4,120,0.2,0.6,30,18.78,10.1,1.06,,True,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Chocolate con leche y almendra,"Azúcares, siropes y edulcorantes",,100,gr,561,8.7,51.5,34.9,3,47,0.07,0.44,0.7,,0.05,13,0.33,0,0.1,0.4,,,195,,1.2,85.7,,243,365,4,62,1.7,1.9,25,17.5,13.5,2.31,,True,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Chocolate en polvo,"Azúcares, siropes y edulcorantes",,100,gr,324,9.8,67.1,1.8,,,0.06,0.04,1.7,,0.02,10,0,0,0,0.18,,,33,,2.4,150,,709,410,5,250,1.9,21.3,0,0.81,0.42,0.04,,True,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Chocolate negro,"Azúcares, siropes y edulcorantes",,100,gr,543,6.3,43.6,35.5,12.1,9,0.05,0.14,0.97,,0.05,6,0,0,0,0.13,,,38,,1.5,124,,181,360,,12,2.2,2.5,1,21.35,11.51,1.08,,True,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Chocolate negro (45%-59% cacao),"Azúcares, siropes y edulcorantes",,100,gr,560,4.9,61.2,31.3,7,2,0.025,0.05,0.73,,0.042,,0.23,0,0,0.54,,,56,,8,146,,206,559,3,24,2.01,1,8,18.52,9.54,1.09,,True,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Chocolate negro (60%-69% cacao),"Azúcares, siropes y edulcorantes",,100,gr,595,6.1,52.4,38.3,8,3,0.032,0.05,0.84,,0.034,,0.18,0,0,0.59,,,62,,6.3,176,,260,567,8.4,10,2.65,1.3,6,22.03,11.52,1.22,,True,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Chocolate negro (70%-85% cacao),"Azúcares, siropes y edulcorantes",,100,gr,620,7.8,45.9,42.6,10.9,2,0.034,0.08,1.05,,0.038,,0.28,0,0,0.59,,,73,,11.9,228,,308,715,6.8,20,3.31,1.4,3,24.49,12.78,1.26,,True,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Compota de manzana,Postres y helados,,100,gr,81,0.2,19.1,0.1,1.6,6,0.02,0.03,0.12,,0.1,4,0,2,0,0.1,,,4,,0.3,10,,9,61,,3,0,78,0,0,0,0,,True,False,"Media mañana / merienda, Comida / cena","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Confitura baja en calorías,"Azúcares, siropes y edulcorantes",,100,gr,39,0.6,9.3,,,,,,,,,,0,,0,,,,,,,,,10,,2,,,90.2,0,,,,,False,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Crema de cacao y avellanas,"Azúcares, siropes y edulcorantes",,100,gr,550,5.5,58.3,32.5,1,0,0.03,0.1,1.5,,0.1,,0,0,0,,,,130,,2.2,65,,183,390,3.8,50,1,2.7,2,5.44,14.49,9.62,,True,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Crema pastelera,Postres y helados,,100,gr,158,4.9,22.3,5.37,0.3,93.3,0.06,0.18,,,0.3,15,1,1,0.3,0.3,,,108,,0.6,13,,120,148,,72,0.06,66.1,120,2.6,2,0.47,,True,False,"Media mañana / merienda, Comida / cena","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Dulce de membrillo,"Azúcares, siropes y edulcorantes",,100,gr,235,0.2,57,0,3.2,0,0.01,0.01,0.1,,,,0,0,0,,,,7,,0.2,3,,19,200,0.6,3,,39.6,0,,,,,True,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Edulcorante aspartamo (E-951),"Azúcares, siropes y edulcorantes",,100,gr,52,13,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,,0,0,,0,0,0,0,0,2,0,0,0,0,,False,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",False
,Edulcorante líquido,"Azúcares, siropes y edulcorantes",,100,gr,4,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,,0,0,,0,0,0,0,0,99,0,0,0,0,,False,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",False
,Fructosa,"Azúcares, siropes y edulcorantes",,100,gr,399,0,99.8,0,0,0,0,0,0,,0,0,0,0,0,0,,,0.1,,0.07,0,,0.1,0.3,0.5,0.1,0.01,0.2,0,0,0,0,,True,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,"Granadina, jarabe","Azúcares, siropes y edulcorantes",,100,gr,268,0,66.9,0,0,0,0,0.01,0,,0,0,0,0,0,0,,,6,,0.05,4,,4,28,0.6,27,0.13,32.4,0,0,0,0,,True,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Jaleas,"Azúcares, siropes y edulcorantes",,100,gr,261,0.2,65,0,0,4,0.02,0.02,0,,0,2,0,4,0,0,,,10,,0.2,,,10,69,2,12,,34.8,0,,,,,True,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Jarabe,"Azúcares, siropes y edulcorantes",,100,gr,297,0.1,74.1,0,0,0,0,0.01,0,,0,0,0,0,0,0,,,74,,2.5,34,,2,220,1,50,0.1,25.8,0,0,0,0,,True,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Mazapán,"Bollería, repostería y galletas",,100,gr,472,9,52,24,6,0,0.1,0.4,1.3,,0.06,50,0,0,0.1,12,,,74,,2,128,,230,286,1,17,0.8,9,53.3,1.9,17.06,4.62,,True,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Mermelada,"Azúcares, siropes y edulcorantes",,100,gr,282,0.2,70,0,0.7,8,0,0,0,,0,0,0,7,0,0,,,25,,0.4,4,,18,44,0,18,,29.1,0,,,,,True,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Mermelada baja en calorías,"Azúcares, siropes y edulcorantes",,100,gr,154,0.4,38,0,,,,,,,,,0,,0,,,,,,,,,19.7,238,2,50,,61.6,0,,,,,True,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Miel,"Azúcares, siropes y edulcorantes",,100,gr,314,0.5,78,0,0,0,0.01,0.04,0.2,,,,0,0,0,0,,,5,,0.4,2,,17,51,1,11,0.9,21.5,0,0,0,0,,True,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Polo (helado de hielo),Postres y helados,,100,gr,134,1,29.5,1.3,0,25,0.05,0.22,0.1,,0.05,12,0,0,0,0.1,,,29,,0.2,5,,109,64,,24,0.4,68.2,0,0.9,0.3,0,,True,False,"Media mañana / merienda, Comida / cena","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Regaliz,"Azúcares, siropes y edulcorantes",,100,gr,325,3.9,71.5,2.2,2,0,0,0,0,,0,0,0,0,0,0,,,63,,8.1,38,,29,220,,75,0.5,20.4,0,0.6,0.5,0.7,,True,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Sacarina,"Azúcares, siropes y edulcorantes",,100,gr,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,False,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",False
,Trufa de chocolate,"Azúcares, siropes y edulcorantes",,100,gr,513,6.2,44.9,33.8,2.5,145,0.087,0.25,0.299,,0.032,9,,0.1,,1.82,,,157,,1.75,48,,171,297,3.4,68,1.6,13.5,53,18.49,12.64,1.01,,True,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Turrón,"Bollería, repostería y galletas",,100,gr,499,10,57.4,23.9,7.1,0,0.12,0.33,2.6,,0.06,48,0,0,0,9.1,,,127,,2.1,129,,220,209,1,13,0.8,1.6,35,1.9,16.4,4.47,,True,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Turrón de Alicante (duro),"Bollería, repostería y galletas",,100,gr,496,13,44.9,28.1,5.9,0,0.08,0.33,1.37,,0.16,29,0,0,0,9.36,,,102,,2.1,119,,250,268,,12,2.3,8.1,0,2.29,18.28,6.22,,True,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Turrón de Jijona (blando),"Bollería, repostería y galletas",,100,gr,504,13,43.5,29.2,7.8,0,0.07,0.27,1.86,,0.13,20,0,0,0,10.53,,,158,,2.3,151,,262,282,,17,2.3,6.5,0,2.76,18.63,6.49,,True,False,"Desayuno, Media mañana / merienda","Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Aceite de cacahuete,Aceites y grasas,,100,gr,899,0,0,99.9,0,0,0,0,0,,0,0,0,0,0,15.16,,,0,,0,0,,0,0,0,0,0,0.1,0,18.8,47.8,31,,False,False,,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Aceite de coco,Aceites y grasas,,100,gr,899,0,0,99.9,0,0,0,0,0,,0,0,0,0,0,0.66,,,0,,0,0,,0,0,0,0,0,0.1,0,85.2,6.6,7.7,,False,False,,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Aceite de colza,Aceites y grasas,,100,gr,900,0,0,100,0,0,0,0,0,,0,0,0,0,0,42,,,5.6,,0.023,0.58,,0,10.7,10,5.49,0.05,0,0,6.98,60.5,26.3,,True,False,,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Aceite de girasol,Aceites y grasas,,100,gr,899,0,0,99.9,0,0,0,0,0,,0,0,0,0,0,49.2,,,0,,0,0,,0,0,0,0,0,0.1,0,12.3,25.15,62.3,,False,False,,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Aceite de maíz,Aceites y grasas,,100,gr,899,0,0,99.9,0,0,0,0,0,,0,0,0,0,0,17.2,,,0,,0,0,,0,0,0,0,0,0.1,0,13.05,32.74,54.15,,False,False,,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Aceite de nuez,Aceites y grasas,,100,gr,898,0,0,99.8,0,0,0,0,0,,0,0,0,0,0,10.8,,,0,,0,0,,0,0,,0,0,0,0,9.3,17.1,69,,False,False,,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Aceite de oliva,Aceites y grasas,,100,gr,899,0,0,99.9,0,0,0,0,0,,0,0,0,0,0,5.1,,,0,,0.4,0,,1,0,0,0,0,0.1,0,16.6,70.99,10.49,,True,False,,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Aceite de oliva virgen,Aceites y grasas,,100,gr,899,0,0,99.9,0,34.1,0,0,0,,0,0,0,0,0,12,,,0,,0,0,,0,0,0,0,0,0.1,0,14.37,69.42,10.84,,False,False,,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Aceite de palma,Aceites y grasas,,100,gr,899,0,0,99.9,0,0,0,0,0,,0,0,0,0,0,33.1,,,0,,0,0,,0,0,0,0,0,0.1,0,47.8,37.1,10.4,,False,False,,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Aceite de semilla de uva,Aceites y grasas,,100,gr,899,0,0,99.9,0,0,0,0,0,,0,0,0,0,0,15.3,,,0,,0,0,,0,0,5,0,0,0,0,11.1,18.9,66,,False,False,,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Aceite de sésamo,Aceites y grasas,,100,gr,900,0,0,100,0,0,0,0,0,,0,0,0,0,0,4.09,,,0,,0,0,,0,0,0,0,0,0,0,14.2,39.7,41.7,,False,False,,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Aceite de soja,Aceites y grasas,,100,gr,899,0,0,99.9,0,0,0,0,0,,0,0,0,0,0,16.3,,,0,,0,0,,0,0,0,0,0,0.1,0,14,24.3,56.8,,False,False,,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Manteca de cerdo,Aceites y grasas,,100,gr,896,0,0,99.5,0,0,0,0,0,,0,0,0,0,,0,,,1,,0.1,1,,3,1,0,2,,0.5,70,39.23,42.96,15.56,,True,False,,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Mantequilla,Aceites y grasas,,100,gr,749,0.6,0,83,0,828,0,0,0,,0,0,0,0,0.76,2,,,15,,0.2,2,,15,16,0,5,0.15,16.4,230,44.97,21.3,2.1,,True,False,,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Mantequilla salada,Aceites y grasas,,100,gr,749,0.6,0,83,0,828,0,0,0,,0,0,0,0,0.76,2,,,15,,0.2,2,,15,16,0,750,0.15,16.4,230,44.97,21.3,2.1,,True,False,,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Margarina,Aceites y grasas,,100,gr,732,0.3,1,80.7,0,800,,0,0,,0,0,0,0,7.5,25,,,8,,0.2,1,,6,7,0,800,0.1,18,115,21.26,21.35,37.6,,True,False,,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Margarina baja en calorías,Aceites y grasas,,100,gr,378,0.7,0.5,41.5,0,655,0.01,0.02,0.36,,0.01,1,0.06,0.1,5.75,6,,,12,,0.06,0.5,,8,7,0,390,0,57.3,1,13.3,8.8,17.9,,True,False,,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Acedera,Verduras y hortalizas,,100,gr,33,2,3.2,0.7,2.9,200,0.04,0.1,0.5,,0.122,13,0,48,0,,,,44,,2.4,103,,63,390,0.9,4,0.2,93,,,,,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Acelgas congeladas,Verduras y hortalizas,,100,gr,41,2,4.5,0.4,5.6,183,0.07,0.06,2.1,,,140,0,20,0,0.03,,,113,,3,71,,40,550,0.9,147,0.02,87.5,0,0.03,0.04,0.07,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Acelgas frescas,Verduras y hortalizas,,100,gr,41,2,4.5,0.4,5.6,183,0.07,0.06,2.1,,,140,0,20,0,0.03,,,113,,3,71,,40,550,0.9,147,0.02,87.5,0,0.03,0.04,0.07,,True,True,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide). Sinónimo de ""Acelgas congeladas"" en el libro.",False
,Achicoria,Verduras y hortalizas,,100,gr,36,1.7,4.7,0.3,4,286,0.06,0.1,0.5,,0.105,110,0,24,0,2.26,,,100,,0.9,30,,47,420,0.3,45,0.42,92,0,0.073,0.006,0.131,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Ajo,Verduras y hortalizas,,100,gr,118,5.3,23,0.3,1.1,0,0.16,0.02,1.3,,0.38,5,0,11,0,0.01,,,14,,1.5,25,,134,529,2,19,1,70.3,0,0.05,0,0.15,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Alcachofas congeladas,Verduras y hortalizas,,100,gr,44,2.3,7.5,0.1,2,8,0.11,0.03,0.6,,0.07,13,0,9,0,0.2,,,45,,1.5,12,,130,430,0.7,47,0.1,88.1,0,0.02,0.01,0.05,,True,True,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide). Sinónimo de ""Alcachofas frescas"" en el libro.",False
,Alcachofas en conserva,Verduras y hortalizas,,100,gr,44,2.3,7.5,0.1,2,8,0.11,0.03,0.6,,0.07,13,0,9,0,0.2,,,45,,1.5,12,,130,430,0.7,47,0.1,88.1,0,0.02,0.01,0.05,,True,True,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide). Sinónimo de ""Alcachofas frescas"" en el libro.",False
,Alcachofas frescas,Verduras y hortalizas,,100,gr,44,2.3,7.5,0.1,2,8,0.11,0.03,0.6,,0.07,13,0,9,0,0.2,,,45,,1.5,12,,130,430,0.7,47,0.1,88.1,0,0.02,0.01,0.05,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Algas kombu desecadas,"Setas, hongos y algas",,100,gr,160,7.1,0,1.6,58.7,56.7,0.07,0.26,2.1,,0.01,,0,13,0,,,,900,,12.7,610,,210,450,2,1830,6.2,32.6,0,,,,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Algas musgo de Irlanda frescas,"Setas, hongos y algas",,100,gr,32,1.5,0,0.2,12.3,0,0.01,0.47,0.6,,,,2.8,,0,,,,72,,8.9,,,160,63,0.7,67,1.9,86,0,0.033,0.015,0.055,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Algas nori desecadas,"Setas, hongos y algas",,100,gr,225,30.7,0,1.5,44.4,2485,0.24,1.34,5.5,,0.07,,0,14,0,,,,430,,19.6,12,,350,2840,0.7,790,6.4,23.4,0,,,,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Algas wakame desecadas,"Setas, hongos y algas",,100,gr,165,12.4,0,2.4,47.1,86,0.11,0.14,,,0.01,,27.5,15,0,,,,660,,11.6,470,,310,220,1,3220,1.7,38.1,0,,,,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Algas wakame frescas,"Setas, hongos y algas",,100,gr,54,3,8.7,0.64,0.5,36,0.06,0.23,2.2,,0.002,196,2.5,3,0,1,,,150,,2.2,107,,80,50,0.7,872,0.38,87.2,0,0.13,0.06,0.22,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Apio,Verduras y hortalizas,,100,gr,16,1.3,1.3,0.2,1.8,95,0.04,0.04,0.7,,0.1,12,,7,0,0.2,,,55,,0.6,15,,32,341,3,126,0.1,95.4,0,0,0,0.1,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Apio en conserva en salmuera,Verduras y hortalizas,,100,gr,13,0.8,1.3,0,2.3,9.33,0.04,0.04,0.3,,0.07,22,0,6,0,0.19,,,36,,0.4,10,,25,283,,343,0.1,95.6,0,0,0,0,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Batata,Tubérculos y raíces,,100,gr,101,1.2,21.5,0.6,2.5,667,0.1,0.06,1.2,,0.22,52,0,25,0,4,,,22,,0.7,13,,60,320,1,19,0.3,74.2,0,0.23,0.04,0.2,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Berenjena,Verduras y hortalizas,,100,gr,27,1.2,4.4,0.2,1.2,3,0.04,0.05,0.6,,0.08,18,0,6,0,0.03,,,11,,0.7,12,,21.4,214,1,2,0.28,93,0,0.05,0,0.1,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Berros,Verduras y hortalizas,,100,gr,29,3,0.4,1,3,420,0.16,0.06,0.3,,0.23,214,0,62,0,1.46,,,170,,2.2,15,,52,230,0.9,49,0.7,92.6,0,0.3,0.1,0.4,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Boniato,Tubérculos y raíces,,100,gr,101,1.2,21.5,0.6,2.5,667,0.1,0.06,1.2,,0.22,52,0,25,0,4,,,22,,0.7,13,,60,320,1,19,0.3,74.2,0,0.23,0.04,0.2,,True,True,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide). Sinónimo de ""Batata"" en el libro.",False
,Borraja,Verduras y hortalizas,,100,gr,28,1.8,3.1,0.7,0.9,210,0.06,0.15,,,0.084,13,0,35,0,,,,93,,3.3,52,,53,470,0.9,80,0.2,93.5,0,0.17,0.21,0.11,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Brécol,Verduras y hortalizas,,100,gr,38,4.4,1.8,0.9,2.6,69,0.1,0.06,1.7,,0.14,90,0,87,0,1.3,,,56,,1.7,22,,87,370,0,8,0.6,90.3,0,0.2,0.1,0.5,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,"Brotes de bambú, en conserva",Verduras y hortalizas,,100,gr,26,1.7,3.2,0.4,1.4,1,0.026,0.026,0.14,,0.136,3,0,1.1,0,0.63,,,8,,0.32,4,,25,80,0.5,7,0.65,94.3,0,0.092,0.009,0.178,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,"Brotes de bambú, frescos",Verduras y hortalizas,,100,gr,38,2.6,5.2,0.3,2.2,1,0.15,0.07,0.6,,0.24,7,0,4,0,1,,,13,,0.5,3,,59,533,0.8,4,1.1,91,0,0.069,0.007,0.134,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Calabacín,Verduras y hortalizas,,100,gr,14,0.6,2.2,0.2,0.5,4.5,0.04,0.04,0.6,,0.06,13,0,22,0,0,,,24,,0.4,8,,17,140,1,1,0.2,96.5,0,0,0,0,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Calabaza,Verduras y hortalizas,,100,gr,15,0.7,2.2,0.2,1,75,0.16,0,0.2,,0.02,10,0,14,0,1.06,,,29,,0.4,10,,19,130,0.3,0,0.2,95.9,0,0.1,0,0,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Canónigos,Verduras y hortalizas,,100,gr,17,1.8,0.7,0.4,1.5,650,0.065,0.08,0.38,,0.25,,0,35,0,1,,,35,,2,13,,49,421,,4,0.54,95.6,,,,,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Cardo,Verduras y hortalizas,,100,gr,23,1.4,3.5,0.2,1,0,0.01,0.03,0.2,,,,0,1,0,,,,114,,1.5,,,46,400,0.9,23,,93.9,0,0,0,0,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Cardo en conserva,Verduras y hortalizas,,100,gr,23,1.4,3.5,0.2,1,0,0.01,0.03,0.2,,,,0,1,0,,,,114,,1.5,,,46,392,0.7,220,,93.9,0,0,0,0,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Cebolla blanca,Verduras y hortalizas,,100,gr,33,1.2,7,0,1.8,0,0.04,0.02,0.4,,0.1,16,0,19,0,0.02,,,28,,0.3,7,,33,170,,12,0.3,90,0,0,0,0,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Cebolleta,Verduras y hortalizas,,100,gr,29,1.4,5.1,0,1.3,0,0.04,0.04,0.4,,0.1,16,0,19,0,0,,,31,,0.8,14,,44,278,1,6,0.1,92.2,0,0,0,0,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Cebollino,Verduras y hortalizas,,100,gr,29,3,1.9,0.5,2.3,500,0.08,0.11,0.65,,0.13,130,0,60,0,0.9,,,86,,1.5,40,,54,275,,3,0.4,92.3,0,0.12,0.08,0.22,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,"Chalota, escalonia",Verduras y hortalizas,,100,gr,85,2.5,16.8,0.1,3.2,0,0.06,0.02,0.2,,0.345,34,0,8,0,0.04,,,37,,1.2,21,,60,334,1.2,12,0.4,79.8,0,0.017,0.014,0.039,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Champiñón,"Setas, hongos y algas",,100,gr,31,1.8,4,0.3,2.5,0,0.1,0.41,4.6,,0.1,23,0,4,0,0.12,,,9,,1,14,,115,470,9,5,0.1,91.4,0,0.07,0.004,0.17,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Champiñón en conserva,"Setas, hongos y algas",,100,gr,17,2.3,0.07,0.5,1.5,0,0.02,0.19,1.2,,0.06,23,0,1.7,0,0.12,,,19,,0.8,15,,69,121,8.8,319,0.1,95.7,0,0.07,0.003,0.17,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
,Chirivía,Tubérculos y raíces,,100,gr,70,1.8,11.1,1.1,4.3,5,0.23,0.01,1,,0.11,87,0,17,0,1,,,41,,0.6,23,,74,450,,10,0.3,81.7,0,0.2,0.5,0.2,,True,False,Comida / cena,"Fuente: Moreiras y cols., Tablas de composición de alimentos (Pirámide).",True
