id,Nombre,Grupo de alimento,Marca,Cantidad,Unidad,Calorias,Proteinas,Carbohidratos,Grasas,Fibra,vitA,vitB1,vitB2,vitB3,vitB5,vitB6,vitB9,vitB12,vitC,vitD,vitE,vitK,choline,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,selenium,sodium,zinc,water,cholesterol,saturatedFat,monoUnsaturatedFat,polyUnsaturatedFat,glycemicIndex,tiene_micros,es_duplicado,momento_sugerido,comments,usar_en_generador
,Carne de conejo extra,Carnes y productos cárnicos,,100,gr,130.86,20.7,0.0,5.3,,,,,,,0.4,,7.0,,,,,,,,,,,259.0,404.0,9.0,0.1,,,,2.0,1.3,2.0,,True,False,Comida / cena,15.53 mg de NIACINA | Fuente: base original de Alzum.,True
,Cabecera de lomo,Carnes y productos cárnicos,Hacendado,100,gr,270.0,31.0,0.5,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Cabezas de lomo cerdo,Carnes y productos cárnicos,,100,gr,211.0,19.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Carne Vacuno,Carnes y productos cárnicos,Hacendado,100,gr,182.0,17.0,1.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Carne de vaca molida en lata,Carnes y productos cárnicos,,100,gr,227.0,22.0,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Carne picada vacuno,Carnes y productos cárnicos,Hacendado,100,gr,182.0,17.0,0.9,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Carne pulpa de Res,Carnes y productos cárnicos,,100,gr,99.6,21.3,0.0,1.6,,,,,,,,,,,,,,,16.0,,3.4,,,208.0,,,,4.3,75.9,,,,,,True,False,Comida / cena,0 | Fuente: base original de Alzum.,True
,Cerdo,Carnes y productos cárnicos,,100,gr,193.9,14.4,0.1,15.1,,,,,,,,,,0.6,,,,,12.0,,1.3,,,238.0,,,,1.7,69.2,,,,,,True,False,Comida / cena,0 | Fuente: base original de Alzum.,True
,Chicharrón de cerdo (Cocido),Embutidos y charcutería,,100,gr,597.8,11.3,0.0,61.4,,,,,,,,,,,,,,,40.0,,,,,227.0,,,,,22.6,,,,,,False,False,Comida / cena,0 | Fuente: base original de Alzum.,True
,Chuletón de ternera (corte graso),Carnes y productos cárnicos,,100,gr,222.0,20.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Chuletón de ternera (corte magro),Carnes y productos cárnicos,,100,gr,166.0,22.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Cinta de lomo Cerdo,Carnes y productos cárnicos,,100,gr,178.0,20.5,1.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Corazón de res,Carnes y productos cárnicos,,100,gr,98.46,16.6,0.1,3.5,,,,,,,,,,3.6,,,,,6.0,,3.6,,,209.0,,,,1.7,77.0,,,,,,True,False,Comida / cena,0 | Fuente: base original de Alzum.,True
,Cordero magra,Carnes y productos cárnicos,,100,gr,136.98,20.9,0.0,5.9,,,130.0,230.0,6.5,660.0,170.0,24.0,2.2,,,190.0,,,12.0,128.0,1.9,27.0,24.0,190.0,276.0,23.6,68.0,3.2,72.6,66.0,2.1,2.4,0.5,,True,False,Comida / cena,0.0 | Fuente: base original de Alzum.,True
,Costilla de cerdo,Carnes y productos cárnicos,,100,gr,395.0,28.9,0.0,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Costilla de res,Carnes y productos cárnicos,,100,gr,254.0,19.0,0.0,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,"[Corregido: el registro original era incoherente.] Grasa 8 -> 19,8 g para cuadrar con sus 254 kcal. Fuente: base original de Alzum.",True
,Entrecot de vaca,Carnes y productos cárnicos,,100,gr,153.0,20.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Ganso sin piel,Carnes y productos cárnicos,,100,gr,155.17,22.8,0.0,7.1,,40.0,129.0,377.0,4.3,2.0,640.0,31.0,0.5,7.2,,,,,13.0,306.0,2.6,24.0,24.0,312.0,420.0,16.8,87.0,2.3,68.3,84.0,2.8,1.9,0.9,,True,False,Comida / cena,0.0 | Fuente: base original de Alzum.,True
,Hamburguesa barbacoa (Meatproteim),Carnes y productos cárnicos,,100,gr,124.0,21.6,2.9,2.7,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,0.8,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Hamburguesa boletus,Carnes y productos cárnicos,Meatprotein,100,gr,93.0,18.0,0.5,2.1,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,0.8,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Hamburguesa gruesa vacuno,Carnes y productos cárnicos,,100,gr,153.0,19.0,0.5,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Hamburguesa ibérico,Carnes y productos cárnicos,Meatprotein,100,gr,121.0,22.2,2.1,2.7,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,0.8,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Hamburguesa mejicana,Carnes y productos cárnicos,Meatprotein,100,gr,117.0,21.8,2.1,2.6,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,0.7,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
